Actual,LSTM_Predicted,GRU_Predicted,SRNN_Predicted,CNN_Predicted
0.45290385553928747,0.64616454,0.49590173,0.5966567,0.5515598
0.44616886285993174,0.6461382,0.49323782,0.5966325,0.5524095
0.45212298682284047,0.64610004,0.4898781,0.5965873,0.5527272
0.4581747193753051,0.6460659,0.48978186,0.5965612,0.5515221
0.45427037579306984,0.6460581,0.49311087,0.5965724,0.5508052
0.46266471449487556,0.64605486,0.4906325,0.59656733,0.55174816
0.4571986334797462,0.6460577,0.49348575,0.5965849,0.5519974
0.45710102489019033,0.646058,0.49191484,0.5965946,0.5515709
0.46803318692044904,0.6460506,0.49156097,0.5965878,0.5508714
0.46100536847242557,0.64605397,0.49542007,0.59661746,0.5516773
0.4726207906295754,0.6460709,0.49511912,0.5966301,0.553239
0.4828696925329429,0.6460926,0.4981908,0.596663,0.5555141
0.47242557345046365,0.64612937,0.50171113,0.59670854,0.55717576
0.4755490483162519,0.64615846,0.5010325,0.59673023,0.5594244
0.4696925329428989,0.6461713,0.5017872,0.596745,0.56078786
0.4637384089799902,0.6461781,0.50070363,0.59674233,0.5613798
0.47164470473401665,0.6461705,0.49862948,0.5967235,0.56078887
0.4742801366520254,0.6461694,0.4986702,0.59671444,0.5601245
0.46637384089799905,0.64617527,0.5006963,0.59672964,0.55821943
0.4727183992191313,0.6461843,0.49987897,0.59673285,0.5583867
0.47076622742801366,0.64618504,0.50004244,0.596732,0.55872685
0.47320644216691066,0.6461807,0.49996993,0.59672797,0.55887914
0.4807223035627135,0.64617985,0.5002916,0.5967221,0.5590097
0.47398731088335777,0.6461994,0.50382936,0.59675163,0.5601109
0.46022449975597857,0.6462152,0.5010035,0.59675246,0.56037223
0.44480234260614937,0.6461934,0.49824938,0.59672564,0.56047213
0.438555392874573,0.6461489,0.49162918,0.5966587,0.5600314
0.44011713030746713,0.6460835,0.4867634,0.5965867,0.55562294
0.45954123962908733,0.64602053,0.48522726,0.59652877,0.5505962
0.47291361639824303,0.64601135,0.4896647,0.59653646,0.5459172
0.4818936066373841,0.6460415,0.49612114,0.5966027,0.5485356
0.4920448999511957,0.646104,0.5018811,0.596686,0.55206156
0.5265983406539776,0.64617544,0.5063685,0.5967748,0.5567387
0.5517813567593949,0.6463087,0.5181513,0.5969167,0.5588032
0.5781356759394827,0.64646816,0.52946067,0.5971105,0.5641087
0.5711078574914593,0.64662576,0.53961873,0.59724665,0.573771
0.5699365544167887,0.64675665,0.545034,0.59735787,0.586691
0.5856515373352855,0.64684755,0.5468508,0.59739375,0.5951929
0.6097608589555881,0.6469343,0.55334216,0.5974426,0.6015961
0.5479746217667155,0.6470503,0.5633855,0.5975305,0.605693
0.5402635431918008,0.64711237,0.5433363,0.5974926,0.60702515
0.5374328940946803,0.6470742,0.54658484,0.5974593,0.600029
0.5406539775500244,0.6470377,0.5419791,0.5974004,0.5955721
0.5444607125427038,0.6470232,0.5431826,0.59736675,0.5952225
0.5605661298194242,0.6470195,0.5447694,0.5973648,0.59635985
0.5527574426549536,0.64704204,0.54793227,0.5973684,0.59847724
0.5551000488042949,0.6470494,0.54704046,0.59737504,0.60022295
0.5543191800878478,0.64704615,0.54894686,0.5973714,0.60216105
0.5518789653489508,0.6470536,0.54840815,0.5973682,0.6026583
0.5722791605661298,0.64706695,0.54982126,0.5973816,0.60285604
0.6004880429477794,0.6470951,0.553519,0.5974107,0.60278106
0.6198145436798438,0.64715636,0.56082386,0.5974711,0.60426605
0.6113225963884822,0.64723206,0.56922615,0.59756255,0.6088035
0.6135675939482674,0.647296,0.57071555,0.597616,0.6153636
0.6103465104929234,0.6473297,0.5736731,0.5976361,0.6214242
0.5974621766715471,0.6473632,0.57558125,0.59765714,0.6238506
0.5913128355295266,0.64737964,0.57358253,0.59765506,0.624784
0.5731576378721328,0.6473817,0.57140446,0.59763443,0.6251892
0.5748169838945827,0.647372,0.56822014,0.5976089,0.62407386
0.5692532942898975,0.64734674,0.5646945,0.59756994,0.62128747
0.5718887262079063,0.64732087,0.5620047,0.5975348,0.6179745
0.5714982918496828,0.64730084,0.5617707,0.597515,0.61457396
0.5632991703269887,0.64729095,0.5600729,0.5975017,0.6125813
0.5487554904831625,0.6472692,0.55721784,0.59748435,0.61029434
0.5564665690580771,0.64723116,0.5538125,0.5974459,0.6090574
0.5560761346998536,0.64720076,0.5546397,0.59742725,0.6085702
0.5571498291849682,0.64718205,0.5536721,0.5974151,0.6086906
0.5553928745729625,0.6471739,0.55428326,0.59740853,0.60887563
0.5539287457296243,0.64716923,0.5537965,0.5974139,0.6091807
0.5592972181551976,0.64715314,0.55224395,0.5973977,0.6089443
0.5757930697901416,0.64714575,0.5524782,0.5973921,0.60786784
0.5803806734992679,0.6471653,0.55641305,0.59741855,0.60692453
