Actual,LSTM_Predicted,GRU_Predicted,SRNN_Predicted,CNN_Predicted,BLSTM
0.46176669420866817,0.4753726,0.44913635,0.42811495,0.4656864,0.49155203
0.46828288139412605,0.4733715,0.4466918,0.42951366,0.46320575,0.49067226
0.46711860587395776,0.47212636,0.44688442,0.42895675,0.46151233,0.49110028
0.46935326372718394,0.47137165,0.44609216,0.42961815,0.46038213,0.49133822
0.4571847066776834,0.47058564,0.4460577,0.43048745,0.45942366,0.49135903
0.43789904604521895,0.46903187,0.44043747,0.4235632,0.45777172,0.4873948
0.4346878990460452,0.466322,0.43632492,0.41593665,0.45505524,0.4822527
0.44041538345977616,0.46283132,0.4322953,0.41374248,0.45174527,0.47755888
0.4525651618718546,0.45948535,0.43095675,0.40854174,0.44626203,0.47534344
0.455964095245249,0.45747232,0.43322182,0.4165125,0.44371215,0.47719976
0.4610906632614738,0.45757717,0.43685946,0.42579406,0.44409567,0.48183814
0.47761586419289415,0.45904678,0.43838766,0.42754653,0.4455034,0.48518556
0.480582888905581,0.4617538,0.44335768,0.43167084,0.4484391,0.4903421
0.4896717494178622,0.46527767,0.4463993,0.4382732,0.45167696,0.49495625
0.5080372568166455,0.46905553,0.45018178,0.438712,0.45620275,0.4989517
0.5058777135131075,0.47397876,0.45743573,0.44821665,0.46178478,0.5062527
0.5236798617892285,0.4793831,0.46166226,0.45523915,0.4684812,0.51173985
0.5239990986254037,0.48514217,0.4675345,0.45843208,0.47564608,0.5177397
0.5261023060166755,0.49051338,0.47077027,0.46202567,0.48169786,0.5219661
0.533914219184256,0.49549186,0.47509813,0.46403483,0.48857743,0.52609104
0.5317922331555622,0.49983042,0.47834948,0.46691284,0.49305978,0.52922356
0.5222151280703071,0.50330067,0.47994184,0.46744883,0.4979064,0.53041154
0.5270224592503567,0.5052831,0.47895417,0.46472284,0.50015384,0.52877325
0.5307218508225043,0.5062362,0.479606,0.46361178,0.502112,0.52759725
0.5219710057838203,0.50706077,0.48213667,0.464657,0.50281847,0.5285399
0.5200555847667693,0.50735426,0.48077404,0.46376964,0.50397825,0.5269743
0.5293885675655374,0.50735456,0.48093146,0.46361828,0.5042376,0.5259149
0.5463081198828214,0.5073635,0.481765,0.46377704,0.50439006,0.52605355
0.5568053782017577,0.5084168,0.48664296,0.470726,0.5057563,0.53012973
0.5361300984000601,0.51083565,0.49127063,0.48068306,0.50907177,0.53573245
0.5344963569443401,0.51290023,0.48853263,0.47474712,0.5112603,0.5347581
0.5099338991962743,0.5135465,0.48682463,0.4710034,0.51301605,0.53166026
0.48638548786900015,0.5121291,0.48141587,0.45956427,0.51230216,0.5253355
0.4855216705475851,0.5078968,0.47258756,0.44696236,0.5087368,0.51471263
0.4957560279426124,0.5020979,0.46737236,0.43714687,0.50234723,0.5062379
0.5243183354615789,0.49665767,0.4667264,0.43938133,0.49519175,0.5033172
0.5889168481934951,0.49464428,0.47399834,0.45494145,0.4919047,0.5101635
0.5734056936828664,0.4988817,0.49354586,0.48446158,0.49845886,0.53052366
0.5616127093818072,0.5070581,0.49722,0.5025554,0.5067356,0.543289
0.5786824907984677,0.51474386,0.49722663,0.49075174,0.51689076,0.5463425
0.5902313528130398,0.5220529,0.5059817,0.49243388,0.5229475,0.5542009
0.5804852399909862,0.527298,0.50571597,0.4969016,0.52817744,0.55658114
0.5927852475024412,0.5313914,0.5096347,0.4912411,0.53324413,0.5595468
0.59849395327875,0.53460103,0.5115445,0.4998622,0.5369454,0.5621094
0.5988507473897693,0.53780675,0.51615846,0.5047601,0.54156226,0.56652635
0.5926350184030647,0.5408847,0.5189632,0.50549287,0.54572237,0.56998485
0.5786261548862014,0.54309,0.51871186,0.5043253,0.54887176,0.57033074
0.5588522496807632,0.54381216,0.51735866,0.49925002,0.55054575,0.56823283
0.5471531585668143,0.5420079,0.5108532,0.49001545,0.55080545,0.5613117
0.556617591827537,0.53790003,0.50556046,0.4795972,0.54669577,0.55343366
0.5627769849019755,0.53416246,0.50557214,0.48145074,0.54163826,0.55175626
0.553594231202584,0.5315784,0.505856,0.48691282,0.5374972,0.55224544
0.5606362202358597,0.5297156,0.5034751,0.48665455,0.5353015,0.5510438
0.5582325546458349,0.52882165,0.5039914,0.48616168,0.53396475,0.55183667
0.5627018703522871,0.52797854,0.50310487,0.48793852,0.5327196,0.5513998
0.5712461503793285,0.5282355,0.5060468,0.48824272,0.53188825,0.55449355
0.5798467663186359,0.52899945,0.50586903,0.4911642,0.5320238,0.55630165
0.5802974536167655,0.5304583,0.5090028,0.49584872,0.5339064,0.5594988
0.5727296627356719,0.53241956,0.5103897,0.50076294,0.5356204,0.56184584
0.5792082926462856,0.53393173,0.50951815,0.4973172,0.5372927,0.5608919
0.5712273717419064,0.5345624,0.5099994,0.49483114,0.538348,0.559608
